C08g_app1	C08g_app1_rg1	<del>but when the ne<del>besides	C08g_app1_rg2	besides,	
C08g_app4	C08g_app4_rg1	<del>chemistry<del>natural	C08g_app4_rg2	natural	
C08g_app6	C08g_app6_rg1	<del>when<del> different	C08g_app6_rg2	different,	
C08g_app8	C08g_app8_rg1	the	C08g_app8_rg2	the<del>n<del>	
C08g_app12	C08g_app12_rg1	<del>wealth<del>power;–	C08g_app12_rg2	power;	
C08g_app14	C08g_app14_rg1	views	C08g_app14_rg2	views,	
C08g_app16	C08g_app16_rg1	 futile	C08g_app16_rg2	futile,	
C08g_app18	C08g_app18_rg1	grand:	C08g_app18_rg2	grand;	
C08g_app20	C08g_app20_rg1	<del>all<del> changed.<del>t and the expulsion<del> of chimera overthrew at the same  time all <del>greatness in the science<del><del>those<del>	C08g_app20_rg2	changed.	
C08g_app22	C08g_app22_rg1	<del>utmost<del> ambition of	C08g_app22_rg2	ambition of	
C08g_app23	C08g_app23_rg1		C08g_app23_rg2	the	
C08g_app24	C08g_app24_rg1	enquirer	C08g_app24_rg2	inquirer	
C08g_app35	C08g_app35_rg1	grandeur	C08g_app35_rg2	grandeur, 	
C08g_app38	C08g_app38_rg1	worth.<p/> such	C08g_app38_rg2	worth.<p/><p/>such	
C08g_app40	C08g_app40_rg1	<del>tw<del>	C08g_app40_rg2	the first	
C08g_app41	C08g_app41_rg1	two or three days	C08g_app41_rg2	two or three days of my residence at ingolstadt, which were chiefly	
C08g_app43	C08g_app43_rg1	almost	C08g_app43_rg2	in becoming acquainted with the localities, and the principal residents	
C08g_app44	C08g_app44_rg1	in	C08g_app44_rg2	in<del>solitary<del>solitude:	
C08g_app45	C08g_app45_rg1	my new abode.	C08g_app45_rg2	solitude.	
C08g_app47	C08g_app47_rg1	<del>at<del> as the	C08g_app47_rg2	as the	
C08g_app48	C08g_app48_rg1	ensueing	C08g_app48_rg2	ensuing	
C08g_app50	C08g_app50_rg1	 commenced	C08g_app50_rg2	commenced,	
C08g_app54	C08g_app54_rg1	k.rempe	C08g_app54_rg2	krempe	
C08g_app57	C08g_app57_rg1	lectures,	C08g_app57_rg2	lectures.	
C08g_app62	C08g_app62_rg1	pulpit	C08g_app62_rg2	pulpit,	
C08g_app65	C08g_app65_rg1	waldham,	C08g_app65_rg2	waldman,	
C08g_app68	C08g_app68_rg1	seen <del>and<del>	C08g_app68_rg2	seen,	
C08g_app69	C08g_app69_rg1	as he had	C08g_app69_rg2	as he had been 	
C08g_app73	C08g_app73_rg1	town.<p/><del>half out of<del>partly	C08g_app73_rg2	town.<p/><p/>partly	
C08g_app75	C08g_app75_rg1	curiosity	C08g_app75_rg2	curiosity,	
C08g_app77	C08g_app77_rg1	 idleness	C08g_app77_rg2	idleness,	
C08g_app79	C08g_app79_rg1	room 	C08g_app79_rg2	room,	
C08g_app81	C08g_app81_rg1	waldham	C08g_app81_rg2	waldman	
C08g_app84	C08g_app84_rg1	a very	C08g_app84_rg2	very	
C08g_app85	C08g_app85_rg1	different man from <del>the other<del>his	C08g_app85_rg2	unlike his	
C08g_app87	C08g_app87_rg1	 was	C08g_app87_rg2	appeared	
C08g_app93	C08g_app93_rg1	benevolence 	C08g_app93_rg2	benevolence;	
C08g_app95	C08g_app95_rg1	gray	C08g_app95_rg2	grey	
C08g_app96	C08g_app96_rg1	<del>hars<del> hairs covered his	C08g_app96_rg2	hairs covered his	
C08g_app97	C08g_app97_rg1	temples	C08g_app97_rg2	temples,	
C08g_app100	C08g_app100_rg1	he	C08g_app100_rg2	his person	
C08g_app102	C08g_app102_rg1	short in  person	C08g_app102_rg2	short,	
